id_elemento	titolo_breve	descrizione_breve	comitato_priorità	impatto_microsoft	comitato_descrizione	comitato_retirement_date	comitato_piattaforme	retirement_date	stato_data	giorni_ritardo	descrizione_originale_completa	azione_originale	fonti	link_fonti	ambito_impatto	id_advisor	id_service_health	risorse_json
azure-retirement:v2:a3e9f8083bd392c8f56048687f0f91191c3282e90f862cf14f98dc3f8a185e02	Cosmos DB account	Upgrade outdated Azure Cosmos DB SDK to the latest version		Alto	**Azure Cosmos DB: verificare e aggiornare l’SDK obsoleto**  **Suggerimento:** identificare SDK, linguaggio e versione, quindi testare l’upgrade a una versione supportata.  [Cosmos DB](https://docs.microsoft.com/azure/cosmos-db) · [SDK .NET v3](https://docs.microsoft.com/azure/cosmos-db/nosql/sdk-dotnet-v3)	10/01/2024 [SCADUTA; data Advisor non verificata nelle fonti] — Data di ritiro (Azure Advisor) Scadenza operativa specifica non confermata per la versione SDK in uso.	IO	2024-10-01 — Data di ritiro (Azure Advisor) 2026-05-11 — Ultimo aggiornamento (Azure Advisor)	Scaduta	723	Advisor: An Azure Cosmos DB account using an old version of the SDK lacks the latest fixes and improvements. Your Azure Cosmos DB account is using an outdated version of the SDK. We recommend upgrading to the latest version for the latest fixes, performance improvements, and new feature capabilities.  Upgrade outdated Azure Cosmos DB SDK to the latest version	Advisor: Upgrade your {language} SDK	Azure Advisor	https://docs.microsoft.com/azure/cosmos-db; https://docs.microsoft.com/azure/cosmos-db/nosql/sdk-dotnet-v3	"{""ambienti"":{""ALTRO"":0,""DEV"":0,""PROD"":1,""UAT"":0},""piattaforme"":{""IO"":{""risorse"":2,""subscription"":1}},""regioni"":[],""servizi"":[""Cosmos DB account""],""totale_piattaforme"":1,""totale_risorse"":2,""totale_subscription"":1}"	https://portal.azure.com/#view/Microsoft_Azure_Expert/RecommendationListBlade/recommendationTypeId/60a55165-9ccd-4536-81f6-e8dc6246d3d2		"{""IO"":{""PROD-IO"":{""io-p-rg-internal"":[""io-p-cosmos-api""],""io-p-selfcare-importadesioni-rg"":[""io-p-cosmos-importadesioni""]}}}"
azure-retirement:v2:914d8a5b4a90d8ebb7be9b891aff11a1005ce1b20a62249de752f8c75f36ad94	App service	Extended support for Node 18 LTS is ending		Medio	**App Service: terminato il supporto esteso per Node.js 18 LTS**  **Suggerimento:** verificare i runtime delle app e aggiornarli subito a una versione LTS supportata; Node 18 continua a funzionare senza nuove patch di sicurezza.  [Azure Updates | Microsoft Azure](https://azure.microsoft.com/updates?id=action-required-upgrade-your-app-service-apps-to-node-20-lts-by-30-april-2025)	04/30/2025 [SCADUTA] — Fine del supporto esteso Node.js 18 (Azure Updates)	DEVEX; IO	2025-04-30 — Data di ritiro (Azure Advisor) 2026-05-01 — Ultimo aggiornamento (Azure Advisor)	Scaduta	512	Advisor: Extended support for Node 18 LTS is ending  Extended support for Node 18 LTS is ending. Apps hosted on App Service continue to run. Future security updates are no longer available. The platform no longer provides customer service for Node 18 LTS.	Advisor: Upgrade the Node 18 LTS app	Azure Advisor	https://azure.microsoft.com/updates?id=action-required-upgrade-your-app-service-apps-to-node-20-lts-by-30-april-2025	"{""ambienti"":{""ALTRO"":0,""DEV"":1,""PROD"":1,""UAT"":0},""piattaforme"":{""DEVEX"":{""risorse"":1,""subscription"":1},""IO"":{""risorse"":2,""subscription"":1}},""regioni"":[],""servizi"":[""App service""],""totale_piattaforme"":2,""totale_risorse"":3,""totale_subscription"":2}"	https://portal.azure.com/#view/Microsoft_Azure_Expert/RecommendationListBlade/recommendationTypeId/060218a1-bf04-43a9-a967-2a507b69904b		"{""DEVEX"":{""DEV-ENGINEERING"":{""io-d-link_group"":[""io-d-link""]}},""IO"":{""PROD-IO"":{""io-p-selfcare-be-rg"":[""io-p-app-devportal-be"",""io-p-app-devportal-be/staging""]}}}"
azure-retirement:v2:04ac569d8e9372c200ec5dfdde5da134d7ee6a3129bb194d130e6a7b68709b91	Public IP address	Basic SKU is being retired		Medio	**IP pubblici Azure Basic: ritiro della SKU**  **Suggerimento:** inventariare gli IP Basic e pianificare il passaggio a Standard; verificare l’eccezione per Cloud Services (extended support).  [Aggiornare gli IP pubblici Basic a Standard | Microsoft Learn](https://learn.microsoft.com/en-us/azure/virtual-network/ip-services/public-ip-basic-upgrade-guidance)	09/30/2025 [SCADUTA] — Ritiro; gli IP esistenti restano operativi senza supporto/SLA; eccezione CSES (Microsoft Learn) 04/28/2026 [SCADUTA] — Ritiro di Application Gateway v1, termine della relativa eccezione operativa (Microsoft Learn)	pagoPA; SelfCare	2025-09-30 — Data di ritiro (Azure Advisor) 2026-04-26 — Aggiornamento meno recente osservato (Azure Advisor) 2026-05-14 — Ultimo aggiornamento (Azure Advisor)	Scaduta	359	Advisor: Basic SKU is being retired  If you have any Basic SKU public IP addresses deployed in Azure Cloud Services (extended support), those deployments aren't affected by this retirement and you don't need to take any action for them.	Advisor: Upgrade to Standard SKU public IP addresses	Azure Advisor	https://app.azure.com/h/6TH2-BV8; https://azure.microsoft.com/updates?id=upgrade-to-standard-sku-public-ip-addresses-in-azure-by-30-september-2025-basic-sku-will-be-retired	"{""ambienti"":{""ALTRO"":0,""DEV"":1,""PROD"":1,""UAT"":2},""piattaforme"":{""SelfCare"":{""risorse"":1,""subscription"":1},""pagoPA"":{""risorse"":3,""subscription"":3}},""regioni"":[],""servizi"":[""Public IP address""],""totale_piattaforme"":2,""totale_risorse"":4,""totale_subscription"":4}"	https://portal.azure.com/#view/Microsoft_Azure_Expert/RecommendationListBlade/recommendationTypeId/557fc33a-46a3-4688-9f09-0aa6ae3d38d7		"{""SelfCare"":{""UAT-SelfCare"":{""selc-u-vnet-rg"":[""108.141.164.135""]}},""pagoPA"":{""DEV-pagoPA"":{""test-peering-rg"":[""test-peering-vm-ip""]},""PROD-pagoPA"":{""pagopa-p-test-peering-rg"":[""test-peering-vm-ip""]},""UAT-pagoPA"":{""pagopa-u-test-peering-rg"":[""test-peering-vm-ip""]}}}"
azure-retirement:v2:ba6214607cd8293bcb2a02b8685550bdd9e626491ff2abd81fef6dbfa1839f5f	Storage Account	Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending		Alto	**Azure Storage: terminato il supporto per TLS 1.0 e 1.1**  **Suggerimento:** aggiornare a TLS 1.2 i client che accedono agli account Storage e verificare subito eventuali errori di connessione.  [Azure Storage Blog](https://techcommunity.microsoft.com/blog/azurestorageblog/tls-1-0-and-1-1-support-will-be-removed-for-new--existing-azure-storage-accounts/4026181)	02/02/2026 [SCADUTA] — Termine per aggiornare i client a TLS 1.2 (Azure Storage Blog) 02/03/2026 [SCADUTA] — TLS 1.0/1.1 non più accettati (Azure Storage Blog)	CRM; DEVEX; IO; pagoPA; Platform Service Management; SelfCare	2026-02-03 — Data di ritiro (Azure Advisor) 2026-04-16 — Aggiornamento meno recente osservato (Azure Advisor) 2026-04-25 — Ultimo aggiornamento (Azure Advisor)	Scaduta	233	Advisor: Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending  Upgrade TLS to latest version. Support for TLS 1.0 and TLS 1.1 in Azure storage accounts is ending.	Advisor: Upgrade TLS to latest version	Azure Advisor	https://app.azure.com/h/__S_-9Q0; https://techcommunity.microsoft.com/blog/azurestorageblog/tls-1-0-and-1-1-support-will-be-removed-for-new--existing-azure-storage-accounts/4026181	"{""ambienti"":{""ALTRO"":0,""DEV"":6,""PROD"":4,""UAT"":0},""piattaforme"":{""CRM"":{""risorse"":1,""subscription"":1},""DEVEX"":{""risorse"":5,""subscription"":3},""IO"":{""risorse"":10,""subscription"":3},""Platform Service Management"":{""risorse"":1,""subscription"":1},""SelfCare"":{""risorse"":2,""subscription"":1},""pagoPA"":{""risorse"":1,""subscription"":1}},""regioni"":[],""servizi"":[""Storage Account""],""totale_piattaforme"":6,""totale_risorse"":20,""totale_subscription"":10}"	https://portal.azure.com/#view/Microsoft_Azure_Expert/RecommendationListBlade/recommendationTypeId/ced5fa9f-b5bf-4982-9f25-8190fb36dfca		"{""CRM"":{""DEV-CRM"":{""crm-d-data-rg"":[""samoncrmd""]}},""DEVEX"":{""DEV-DEVEX"":{""dx-d-itn-tfstate-rg-01"":[""dxditntfstatest01""]},""DEV-ENGINEERING"":{""cloudgaap-test-iac"":[""cloudgaaptestiac""],""iosignbroken"":[""iosignbroken4b1e10""],""lk-u-itn-tfstate-rg-01"":[""lkuitntfstatest01""]},""PROD-DEVEX"":{""dx-p-itn-tfstate-rg-01"":[""dxpitntfstatest01""]}},""IO"":{""DEV-IO"":{""cloud-shell-storage-westeurope"":[""csb100320009a787d80"",""csba4e96bcd59dcx4d66xb2f""],""dev-daniele"":[""devdanielesa""],""dev-raimondo"":[""raimondodevtfstate""],""grausof"":[""grausof""],""innovation"":[""stk8sc""],""io-d-lollipop-rg"":[""iodlollipopassertionst""],""io-lab-rg-common"":[""iolabstshell""]},""PROD-CED"":{""ced-p-itn-tfstate-rg-01"":[""cedpitntfstatest01""]},""PROD-IO"":{""io-p-itn-tfstate-rg-01"":[""iopitntfstatest01""]}},""Platform Service Management"":{""DEV-PLATFORM-SM"":{""prove-lorenzo-rg"":[""provelorenzosa01""]}},""SelfCare"":{""DEV-SelfCare"":{""azuredurablefunctionstyp"":[""azuredurablefunctionstyp""],""selc-d-workflow-rg"":[""selcdworkflowtestfa1ccd""]}},""pagoPA"":{""PROD-pagoPA"":{""pagopa-azuredatabox-nodo-oracle-rg"":[""pagopanodooraclenexi""]}}}"
azure-retirement:v2:3b670db69306eabb869bd4cb4b5a5de0e6e230faee1932cff194a922ab735cdc	Kubernetes service	Upgrade your AKS cluster from 1.32 Kubernetes Official version		Medio	**AKS: supporto terminato per Kubernetes 1.32**  **Suggerimento:** verificare subito i cluster 1.32 e aggiornarli a una release supportata; il supporto è già terminato.  [Versioni Kubernetes supportate | Microsoft Learn](https://learn.microsoft.com/en-us/azure/aks/supported-kubernetes-versions)	03/01/2026 [SCADUTA; raccomandazione Advisor] — Data di ritiro (Azure Advisor) 03/31/2026 [SCADUTA] — Fine del supporto (Microsoft Learn)	PARI	2026-03-01 — Data di ritiro (Azure Advisor) 2026-03-31 — Data di ritiro (metadati Azure Advisor) 2026-08-21 — Ultimo aggiornamento (Azure Advisor)	Date discordanti		Advisor: Azure Kubernetes Service retires 1.32 Kubernetes Official version. To stay within supported versions and service-level agreements (SLA), upgrade to a supported version within 30 days after Azure removes version 1.32 Kubernetes Official version  Upgrade your AKS cluster from 1.32 Kubernetes Official version	Advisor: Upgrade AKS cluster from 1.32 Kubernetes official version	Azure Advisor	https://learn.microsoft.com/azure/aks/supported-kubernetes-versions?branch=main&branchFallbackFrom=pr-en-us-3520&tabs=azure-cli	"{""ambienti"":{""ALTRO"":0,""DEV"":0,""PROD"":1,""UAT"":1},""piattaforme"":{""PARI"":{""risorse"":2,""subscription"":2}},""regioni"":[],""servizi"":[""Kubernetes service""],""totale_piattaforme"":1,""totale_risorse"":2,""totale_subscription"":2}"	https://portal.azure.com/#view/Microsoft_Azure_Expert/RecommendationListBlade/recommendationTypeId/7dcef62e-792c-49dc-b36a-1938829c449c		"{""PARI"":{""PROD-CSTAR"":{""cstar-p-itn-core-aks-rg"":[""cstar-p-itn-prod-aks""]},""UAT-CSTAR"":{""cstar-u-itn-core-aks-rg"":[""cstar-u-itn-uat-aks""]}}}"
azure-retirement:v2:af57e9232ec93e0ad205c79a07a1b6475ce60752502d510d56aa0b08245a9f28	Apache Spark pool	Azure Synapse runtime for Apache Spark 3.4 is being retired.		Alto	**Azure Synapse: fine supporto per Apache Spark 3.4**  **Suggerimento:** migrare subito i workspace a Spark 3.5 e testare notebook, librerie e job prima del rilascio.  [Supporto versioni Apache Spark | Microsoft Learn](https://learn.microsoft.com/en-us/azure/synapse-analytics/spark/apache-spark-version-support)	03/31/2026 [SCADUTA] — Fine del supporto effettiva (Microsoft Learn)	Fatturazione	2026-03-31 — Data di ritiro (Azure Advisor) 2026-04-17 — Ultimo aggiornamento (Azure Advisor)	Scaduta	177	Advisor: Azure Synapse runtime for Apache Spark 3.4 is being retired and disabled.  Azure Synapse runtime for Apache Spark 3.4 is being retired.	Advisor: Upgrade the Apache Spark 3.5-based workloads	Azure Advisor	https://app.azure.com/h/2N52-HR0; https://azure.microsoft.com/updates/?id=490042	"{""ambienti"":{""ALTRO"":0,""DEV"":0,""PROD"":0,""UAT"":1},""piattaforme"":{""Fatturazione"":{""risorse"":1,""subscription"":1}},""regioni"":[],""servizi"":[""Apache Spark pool""],""totale_piattaforme"":1,""totale_risorse"":1,""totale_subscription"":1}"	https://portal.azure.com/#view/Microsoft_Azure_Expert/RecommendationListBlade/recommendationTypeId/5202f09f-6886-4daf-a2e2-21fea2672973		"{""Fatturazione"":{""UAT-FATTURAZIONE"":{""fat-u-analytics-rg"":[""sparkcls02""]}}}"
azure-retirement:v2:92f47f99e370643a10ada40ae9aff1be53257b855c9d34f96c5c773dace7cea6	Virtual machine scale set	Upgrade your VMSS to alternative image version		Alto	**VM Scale Sets: immagine deprecata, verificare la versione**  **Suggerimento:** identificare publisher, offer, SKU e versione nella notifica Advisor, quindi aggiornare immagine e piano di scale-out.  [FAQ immagini Azure Marketplace deprecate | Microsoft Learn](https://learn.microsoft.com/en-us/azure/virtual-machines/deprecated-images)	04/22/2026 [SCADUTA; immagine specifica da confermare] — Rimozione immagine (Azure Advisor)	pagoPA	2026-04-22 — Rimozione immagine (Azure Advisor) 2026-04-22 — Ultimo aggiornamento (Azure Advisor)	Scaduta	155	Advisor: Upgrade your VMSS to alternative image version  VMSS in your subscription are running on images that have been scheduled for deprecation. Once the image is deprecated, your VMSS workloads would no longer scale out. Upgrade to newer version of the image to prevent disruption to your workload.	Advisor: Upgrade your VMSS to alternative image version	Azure Advisor	https://aka.ms/DeprecatedImagesFAQ	"{""ambienti"":{""ALTRO"":0,""DEV"":1,""PROD"":1,""UAT"":1},""piattaforme"":{""pagoPA"":{""risorse"":3,""subscription"":3}},""regioni"":[],""servizi"":[""Virtual machine scale set""],""totale_piattaforme"":1,""totale_risorse"":3,""totale_subscription"":3}"	https://portal.azure.com/#view/Microsoft_Azure_Expert/RecommendationListBlade/recommendationTypeId/3b739bd1-c193-4bb6-a953-1362ee3b03b2		"{""pagoPA"":{""DEV-pagoPA"":{""pagopa-d-weu-nodo-vmss-rg"":[""pagopa-d-weu-nodo-vmss""]},""PROD-pagoPA"":{""pagopa-p-weu-nodo-vmss-rg"":[""pagopa-p-weu-nodo-vmss""]},""UAT-pagoPA"":{""pagopa-u-weu-nodo-vmss-rg"":[""pagopa-u-weu-nodo-vmss""]}}}"
azure-retirement:v2:7212de1ba3c64dc372630196d2ed51ba344e4e465247bfa430bf3f3bcc899002	Kubernetes service	Migrate to Container insights managed identity authentication		Medio	**Container Insights: migrare l’autenticazione a Managed Identity**  **Suggerimento:** migrare subito a Managed Identity e verificare che la raccolta di log e metriche continui a funzionare.  [Autenticazione legacy di Container Insights | Microsoft Learn](https://learn.microsoft.com/en-us/azure/azure-monitor/containers/container-insights-authentication)	09/30/2026 [IMMINENTE] — Ritiro del metodo legacy; cluster non migrati non saranno supportati (Microsoft Learn)	pagoPA; PARI; Piattaforma Unitaria; Technology	2026-04-16 — Aggiornamento meno recente osservato (Azure Advisor) 2026-06-19 — Ultimo aggiornamento (Azure Advisor) 2026-09-30 — Data di ritiro (Azure Advisor)	In scadenza		Advisor: Migrate to Container insights managed identity authentication  Migrate to Container insights managed identity authentication before the retirement date to maintain access and retain functionality.	Advisor: Migrate to managed identity authentication	Azure Advisor	https://app.azure.com/h/__MB-7W0; https://azure.microsoft.com/updates/?id=500853	"{""ambienti"":{""ALTRO"":1,""DEV"":3,""PROD"":3,""UAT"":3},""piattaforme"":{""PARI"":{""risorse"":3,""subscription"":3},""Piattaforma Unitaria"":{""risorse"":3,""subscription"":3},""Technology"":{""risorse"":1,""subscription"":1},""pagoPA"":{""risorse"":4,""subscription"":3}},""regioni"":[],""servizi"":[""Kubernetes service""],""totale_piattaforme"":4,""totale_risorse"":11,""totale_subscription"":10}"	https://portal.azure.com/#view/Microsoft_Azure_Expert/RecommendationListBlade/recommendationTypeId/b005ecf0-23e2-4279-9ca2-718d1518c9fb		"{""PARI"":{""DEV-CSTAR"":{""cstar-d-itn-core-aks-rg"":[""cstar-d-itn-dev-aks""]},""PROD-CSTAR"":{""cstar-p-itn-core-aks-rg"":[""cstar-p-itn-prod-aks""]},""UAT-CSTAR"":{""cstar-u-itn-core-aks-rg"":[""cstar-u-itn-uat-aks""]}},""Piattaforma Unitaria"":{""DEV-P4PA"":{""p4pa-d-itn-dev-aks-rg"":[""p4pa-d-itn-dev-aks""]},""PROD-P4PA"":{""p4pa-p-itn-prod-aks-rg"":[""p4pa-p-itn-prod-aks""]},""UAT-P4PA"":{""p4pa-u-itn-uat-aks-rg"":[""p4pa-u-itn-uat-aks""]}},""Technology"":{""DevOpsLab"":{""dvopla-d-itn-dev-aks-rg"":[""dvopla-d-itn-dev-aks""]}},""pagoPA"":{""DEV-pagoPA"":{""pagopa-d-weu-dev-aks-rg"":[""pagopa-d-weu-dev-aks""]},""PROD-pagoPA"":{""pagopa-p-itn-prod-aks-rg"":[""pagopa-p-itn-prod-aks""],""pagopa-p-weu-prod-aks-rg"":[""pagopa-p-weu-prod-aks""]},""UAT-pagoPA"":{""pagopa-u-weu-uat-aks-rg"":[""pagopa-u-weu-uat-aks""]}}}"
azure-retirement:v2:bd402fdf56128f709d3f49aa4a376d29f3b5fb3c5fc0303c3326578c13473910	Availability test	The URL ping test capability of the application insights feature for Azure Monitor is being retired.		Medio	**Application Insights: ritiro dei test URL ping**  **Suggerimento:** migrare ai test standard, verificare regole di alert e costi; gli alert non vengono migrati automaticamente.  [Test di disponibilità di Application Insights | Microsoft Learn](https://learn.microsoft.com/en-us/azure/azure-monitor/app/availability)	09/30/2026 [IMMINENTE] — Ritiro e rimozione dei test URL ping esistenti (Microsoft Learn)	DEVEX; IO; pagoPA; Technology	2026-04-16 — Aggiornamento meno recente osservato (Azure Advisor) 2026-04-23 — Ultimo aggiornamento (Azure Advisor) 2026-09-30 — Data di ritiro (Azure Advisor)	In scadenza		Advisor: The URL ping test capability of the application insights feature for Azure Monitor is being retired.  To ensure you can continue to run single-step availability tests in your application insights resources, transition to standard tests. Ping tests are removed from your resources.	Advisor: Transition to using standard tests	Azure Advisor	https://app.azure.com/h/3KYM-7_G; https://azure.microsoft.com/updates?id=transition-to-using-standard-tests-for-singlestep-availability-testing-in-azure-monitor-application-insights-by-30-september	"{""ambienti"":{""ALTRO"":1,""DEV"":1,""PROD"":2,""UAT"":0},""piattaforme"":{""DEVEX"":{""risorse"":2,""subscription"":1},""IO"":{""risorse"":2,""subscription"":1},""Technology"":{""risorse"":1,""subscription"":1},""pagoPA"":{""risorse"":2,""subscription"":1}},""regioni"":[],""servizi"":[""Availability test""],""totale_piattaforme"":4,""totale_risorse"":7,""totale_subscription"":4}"	https://portal.azure.com/#view/Microsoft_Azure_Expert/RecommendationListBlade/recommendationTypeId/e877d6d4-e952-4f8a-a4c4-5f90e5ac1da9		"{""DEVEX"":{""DEV-ENGINEERING"":{""io-poc-lg-rg"":[""ping info-io-poc-lg"",""ping validator-io-poc-lg""]}},""IO"":{""PROD-IO"":{""io-p-rg-common"":[""io-p-wt-func-iopayportal"",""spidl2-xx-testenv2-io-p-ai-common""]}},""Technology"":{""DevOpsLab"":{""dvopla-d-monitor-rg"":[""test tokeniser uat-dvopla-d-appinsights""]}},""pagoPA"":{""PROD-pagoPA"":{""pagopa-p-monitor-rg"":[""pagopa-p-apim-pagopa-p-appinsights"",""pagopa-p-assets-platform-web-test""]}}}"
azure-retirement:v2:5c49ee8a23eb422df6c10e9d1cc50dd3b0437a68b8d8b50f8a109f26dd256a38	Storage Account	Upgrade general-purpose v1 storage accounts		Medio	**Storage account GPv1: ritiro e migrazione automatica**  **Suggerimento:** inventariare gli account GPv1, pianificare la migrazione a GPv2 e stimare i costi; gli account rimasti saranno migrati automaticamente.  [Azure Updates | Microsoft Azure](https://azure.microsoft.com/updates/?id=496964) · [Ritiro GPv1 | Microsoft Learn](https://learn.microsoft.com/en-us/azure/storage/common/general-purpose-version-1-account-migration-overview)	09/2026 — Blocco della creazione di nuovi account GPv1 (Microsoft Learn; giorno non indicato) 10/13/2026 [data Advisor da confermare] — Data di ritiro (Azure Advisor) 10/2026 — Ritiro e automigrazione degli account rimasti (Microsoft Learn; giorno non indicato)	CRM; DEVEX; Fatturazione; ICT; IO; pagoPA; SelfCare	2026-04-28 — Aggiornamento meno recente osservato (Azure Advisor) 2026-05-21 — Ultimo aggiornamento (Azure Advisor) 2026-10-13 — Data di ritiro (Azure Advisor)	In scadenza		Advisor: Migrate to general-purpose v2 storage account or specialized alternatives based on workload requirements, such as BlockBlobStorage or FileStorage.  Upgrade general-purpose v1 storage accounts	Advisor: Upgrade general-purpose v1 storage accounts	Azure Advisor	https://app.azure.com/h/VN1S-1V8; https://app.azure.com/h/XTKT-BW8; https://app.azure.com/h/XV1P-9X8; https://azure.microsoft.com/updates/?id=496964	"{""ambienti"":{""ALTRO"":0,""DEV"":5,""PROD"":4,""UAT"":0},""piattaforme"":{""CRM"":{""risorse"":1,""subscription"":1},""DEVEX"":{""risorse"":9,""subscription"":2},""Fatturazione"":{""risorse"":1,""subscription"":1},""ICT"":{""risorse"":1,""subscription"":1},""IO"":{""risorse"":8,""subscription"":2},""SelfCare"":{""risorse"":2,""subscription"":1},""pagoPA"":{""risorse"":2,""subscription"":1}},""regioni"":[],""servizi"":[""Storage Account""],""totale_piattaforme"":7,""totale_risorse"":24,""totale_subscription"":9}"	https://portal.azure.com/#view/Microsoft_Azure_Expert/RecommendationListBlade/recommendationTypeId/1d70919c-1a4a-4f79-8300-bb576c291e9d		"{""CRM"":{""DEV-CRM"":{""app-daticalcolati-quotidiani_group"":[""appdaticalcolatiquo9c07""]}},""DEVEX"":{""DEV-ENGINEERING"":{""dev"":[""dev8454"",""deva1ac"",""iofunctiondeploy""],""io-d-wallet-it_group"":[""iodwalletit""],""io-poc-d-rg"":[""iopocdrg9d6c""],""io-poc-lg-rg"":[""iopoclgrg92c1"",""iopoclgrgb9b2""],""iosignbroken"":[""iosignbroken4b1e10""]},""PROD-TRIAL"":{""ts-p-ops-rg"":[""tspopslapptest""]}},""Fatturazione"":{""PROD-FATTURAZIONE"":{""fat-p-sm_group"":[""fatpsmgroupaf46""]}},""ICT"":{""PROD-ICT"":{""ict-p-migrate-rg"":[""migratersa834927104""]}},""IO"":{""DEV-IO"":{""dev-alessio"":[""devalessio8f3c""],""dev-fn-elt"":[""iodstfn3elt""],""dev-lorenzo"":[""devlorenzo947b""],""dev-scirulli"":[""devscirulli8958""],""grausof"":[""grausof""],""io-d-itn-wallet-rg"":[""ioditnwalletrg9a34"",""ioditnwalletrga9a2""]},""PROD-IO"":{""io-p-rg-operations"":[""iopstfn3slackbot""]}},""SelfCare"":{""DEV-SelfCare"":{""azuredurablefunctionstyp"":[""azuredurablefunctionstyp""],""selc-d-workflow-rg"":[""selcdworkflowtestfa1ccd""]}},""pagoPA"":{""DEV-pagoPA"":{""test-caccuri"":[""testcaccurib8d1""],""test-smo-rg"":[""testsmorg88ce""]}}}"
